nic,antenna,ssid,distance,rssi,link_quality,channel,link_quality_in_percentage
mediatek-mt7610u,1,senic-sandbox,0,-38,69,4,99
mediatek-mt7610u,1,senic-sandbox,9,-49,61,4,87
