nic,antenna,ssid,distance,timestamp,rssi,link_quality,channel,link_quality_in_percentage
mediatek-mt7610u,1,senic-sandbox,0,1489156659,-33,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1489156660,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156661,-47,63,4,90
mediatek-mt7610u,1,senic-sandbox,0,1489156662,-49,61,4,87
mediatek-mt7610u,1,senic-sandbox,0,1489156664,-47,63,4,90
mediatek-mt7610u,1,senic-sandbox,0,1489156665,-51,59,4,84
mediatek-mt7610u,1,senic-sandbox,0,1489156666,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156667,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156668,-35,70,4,100
mediatek-mt7610u,1,senic-sandbox,0,1489156669,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156670,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156671,-47,63,4,90
mediatek-mt7610u,1,senic-sandbox,0,1489156672,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156673,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156674,-47,63,4,90
mediatek-mt7610u,1,senic-sandbox,0,1489156675,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156676,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156677,-41,69,4,98
mediatek-mt7610u,1,senic-sandbox,0,1489156678,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156679,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156680,-47,63,4,90
mediatek-mt7610u,1,senic-sandbox,0,1489156682,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156683,-45,65,4,92
mediatek-mt7610u,1,senic-sandbox,0,1489156684,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156685,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156686,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156687,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156688,-81,29,4,41
mediatek-mt7610u,1,senic-sandbox,0,1489156689,-41,69,4,98
mediatek-mt7610u,1,senic-sandbox,0,1489156690,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,0,1489156691,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,1,1489156765,-39,70,4,100
mediatek-mt7610u,1,senic-sandbox,1,1489156766,-39,70,4,100
mediatek-mt7610u,1,senic-sandbox,1,1489156767,-41,69,4,98
mediatek-mt7610u,1,senic-sandbox,1,1489156768,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,1,1489156769,-43,67,4,95
mediatek-mt7610u,1,senic-sandbox,1,1489156770,-45,65,4,92
