nic,antenna,distance,notify_count,timestamp
ampak-ap6212,3,0,0,1488552324
ampak-ap6212,3,0,0,1488552415
ampak-ap6212,3,0,100,1488552544
ampak-ap6212,3,1,36,1488552602
ampak-ap6212,3,2,69,1488552696
ampak-ap6212,3,1,0,1488552801
ampak-ap6212,3,3,0,1488552854
ampak-ap6212,3,3,0,1488552912
ampak-ap6212,3,6,0,1488552992
