nic,antenna,ssid,distance,timestamp,ping_packet_size,ping_loss,ping_min,ping_avg,ping_max,ping_mdev
ampak-ap6212,5,senic-sandbox,4,1488556099,1024,0,9.159,35.698,141.145,30.224
ampak-ap6212,5,senic-sandbox,5,1488556169,64,3,8.255,14.563,36.142,6.956
ampak-ap6212,5,senic-sandbox,5,1488556184,1024,0,8.742,17.083,36.473,6.021
ampak-ap6212,5,senic-sandbox,6,1488556261,64,0,7.645,19.128,105.660,17.067
ampak-ap6212,5,senic-sandbox,6,1488556276,1024,0,9.645,17.789,52.716,8.705
ampak-ap6212,5,senic-sandbox,7,1488556349,64,0,8.035,14.090,24.855,4.441
ampak-ap6212,5,senic-sandbox,7,1488556364,1024,3,9.233,41.061,204.566,47.371
ampak-ap6212,5,senic-sandbox,8,1488556425,64,0,8.568,18.052,52.484,8.242
ampak-ap6212,5,senic-sandbox,8,1488556439,1024,0,9.003,16.777,59.082,8.892
ampak-ap6212,5,senic-sandbox,9,1488556501,64,0,7.944,22.749,72.674,15.707
ampak-ap6212,5,senic-sandbox,9,1488556516,1024,0,8.816,16.007,29.253,5.381
ampak-ap6212,5,senic-sandbox,10,1488556587,64,0,8.122,19.600,177.521,29.736
ampak-ap6212,5,senic-sandbox,10,1488556601,1024,0,9.971,16.359,26.981,4.614
ampak-ap6212,5,senic-sandbox,11,1488556670,64,0,7.982,23.426,193.863,32.897
ampak-ap6212,5,senic-sandbox,11,1488556685,1024,0,9.724,16.668,33.652,6.238
ampak-ap6212,5,senic-sandbox,12,1488556758,64,6,8.540,68.859,250.545,55.023
ampak-ap6212,5,senic-sandbox,12,1488556773,1024,6,11.298,38.561,174.115,43.395
ampak-ap6212,6,senic-sandbox,12,1488557050,64,0,8.050,27.222,84.630,20.153
ampak-ap6212,6,senic-sandbox,12,1488557064,1024,30,13.949,71.848,170.055,45.988
ampak-ap6212,6,senic-sandbox,11,1488557143,64,10,7.803,33.179,118.353,27.974
ampak-ap6212,6,senic-sandbox,11,1488557173,1024,13,13.052,42.229,110.512,34.262
ampak-ap6212,6,senic-sandbox,10,1488557258,64,0,7.860,17.499,38.023,8.240
ampak-ap6212,6,senic-sandbox,10,1488557272,1024,0,8.992,20.504,54.819,11.257
ampak-ap6212,6,senic-sandbox,9,1488557335,64,0,8.312,19.755,60.437,10.581
ampak-ap6212,6,senic-sandbox,9,1488557349,1024,0,9.038,19.784,56.784,10.092
